index,User
3583,0
3304,0
4439,0
1713,1
6769,0
5255,0
4903,0
7326,0
1699,0
933,0
3904,0
4144,0
4649,0
399,0
3728,1
6569,1
4857,0
3398,0
1030,0
1142,1
3749,1
5598,0
991,1
3499,0
4362,0
4298,1
258,0
2455,1
5462,0
1570,0
2371,1
5568,0
720,0
3835,0
1399,0
6587,0
6936,0
2771,1
3295,1
5607,1
5267,0
3302,0
6479,0
4760,1
4091,0
2245,0
1489,0
4399,0
4166,0
6765,0
4772,1
3368,0
5398,1
5697,0
3730,0
3457,0
5886,0
700,1
2357,0
1533,0
538,1
2364,0
5067,0
6429,0
6523,0
3180,1
2769,0
6374,0
3769,1
1066,1
4181,0
2121,0
6334,0
3743,0
356,0
5972,1
658,1
1079,0
3193,0
1476,1
5574,1
5132,1
4531,1
3345,0
1627,0
1021,0
6692,1
5405,0
1211,0
4308,0
2735,0
2984,1
6677,0
6149,0
6597,0
5111,0
3962,1
3804,0
3220,0
2600,0
4311,0
3517,0
2030,0
5320,0
144,1
1168,0
6723,1
3151,1
2250,0
7261,0
1002,0
2573,0
3884,0
5713,1
5525,0
4143,1
1038,1
4651,0
745,0
4268,0
5830,0
3474,1
6039,0
3878,0
4132,0
4334,0
2295,0
6470,0
256,0
3575,0
1824,0
7063,0
6764,0
4458,0
5796,0
683,0
4161,0
3941,1
6607,1
162,0
3480,0
3667,0
3182,1
6546,0
1652,1
6841,0
3979,0
5428,0
220,0
1965,1
2361,0
3052,1
571,0
1902,1
6817,0
5633,0
580,1
6766,0
2333,0
297,1
2711,0
2419,1
1345,1
7,0
7095,1
7000,1
2526,0
4751,1
191,1
166,1
6114,0
7266,0
1649,1
296,0
1781,1
2035,0
6143,0
3038,0
1036,1
3393,1
5194,0
3299,0
557,0
6077,0
2965,0
6694,1
1287,0
5375,0
1472,0
5373,1
4599,1
897,0
2377,1
7321,1
854,0
5523,0
2519,0
4353,1
289,0
2486,0
2484,1
4421,1
4195,0
1407,1
3423,0
3424,1
7053,0
5217,0
2571,0
5234,0
6834,1
808,1
1749,0
5250,0
1433,0
6286,0
6457,0
6933,1
3948,1
3070,1
3615,1
5224,0
6719,1
5195,0
2215,0
705,0
6785,0
5673,0
5292,1
6908,0
3078,1
6609,0
239,1
3258,1
1394,0
332,0
2670,1
3211,1
1270,0
3084,0
7138,1
4839,1
2487,0
36,0
5323,0
5916,0
2159,0
5571,1
4759,0
4854,1
6610,1
276,0
7006,0
6666,0
1055,0
7118,0
2453,1
171,0
2652,0
2464,1
6724,0
3978,0
3278,0
7224,1
4456,1
2258,1
1459,0
404,1
1600,1
3555,1
3455,0
7167,0
3421,0
6467,1
4935,0
157,1
4970,1
4687,0
5531,0
6406,1
2675,1
4810,1
3239,0
1663,0
7044,0
6641,0
1214,1
3570,1
3587,0
62,0
6983,1
75,0
5805,0
1632,0
5154,1
3483,0
2569,0
2015,1
3635,1
1899,0
2705,0
5783,1
2766,0
2305,0
3298,1
405,0
727,0
4465,0
